Time (ms), Pressure, Temperature
30510, 1022.673583984375, 24.065093994140625
30611, 1022.673583984375, 24.065093994140625
30711, 1022.673583984375, 24.065093994140625
30812, 1022.673583984375, 24.065093994140625
30912, 1022.673583984375, 24.065093994140625
31013, 1022.674560546875, 24.065093994140625
31114, 1022.6748046875, 24.066802978515625
31213, 1022.6748046875, 24.066802978515625
31313, 1022.6748046875, 24.066802978515625
31413, 1022.6748046875, 24.066802978515625
31513, 1022.6748046875, 24.066802978515625
31613, 1022.6748046875, 24.066802978515625
31713, 1022.6748046875, 24.066802978515625
31813, 1022.6748046875, 24.066802978515625
31913, 1022.6748046875, 24.066802978515625
32013, 1022.6767578125, 24.066802978515625
32113, 1022.677001953125, 24.06878662109375
32213, 1022.677001953125, 24.06878662109375
32313, 1022.677001953125, 24.06878662109375
