Time,x,y,z
1152291,-178.68067206580955,-1.04515472114249,-125.75576098922629
1152488,-178.59671915418573,-1.0343601204206223,-125.68441720362131
1152587,-178.63085320339925,-1.039751995226049,-125.72487046570802
1152687,-178.6185581329727,-1.0617668865291952,-125.72524747724117
1152840,-178.58732955713424,-1.0622198789326796,-125.71612652109859
1152942,-178.61841482741508,-1.0770293250683793,-125.75671326425442
1153041,-178.55311449457022,-1.0719930189469355,-125.71034295760046
1153142,-178.54375670949932,-1.0845469550039666,-125.71681427491566
1153243,-178.52822124914127,-1.1001889798682893,-125.7265782147982
1153343,-178.5188579343003,-1.0973049140120634,-125.7172148999572
1153490,-178.47544023370213,-1.1352670079925995,-125.7181358796289
1153689,-178.48787922905456,-1.1597515137627321,-125.74961698568896
1153789,-178.56940291206732,-1.196301074322763,-125.76488878494504
1153889,-178.57276948779776,-1.187275753655755,-125.73345989583562
1153989,-178.5826588548996,-1.2217760369730069,-125.71814361336868
1154089,-178.61392342665994,-1.2369148099285654,-125.73363394357715
1154189,-178.61079850847273,-1.2308375067080477,-125.72417794924722
1154289,-178.61987322713716,-1.2334989958578804,-125.75539463031087
1154388,-178.60122896217206,-1.2121657491690316,-125.72405280018624
1154488,-178.61042795321606,-1.1994176061664203,-125.7332169049722
1154588,-178.63229344834394,-1.196075841652174,-125.73294810783199
1154888,-178.6416456480512,-1.1989679272437734,-125.74230030753925
1154993,-178.6353295199371,-1.1866631553229994,-125.73280429941397
1155093,-178.65682018766097,-1.1673613870901847,-125.75741120952456
1155194,-178.63177978435579,-1.1335713855960268,-125.7259824119967
1155293,-178.6318260688876,-1.164617189328551,-125.74821795973763
1155438,-178.65960874974073,-1.142271870770648,-125.76331481073308
1155541,-178.62874443778455,-1.1429840880271411,-125.7261250969925
1155642,-178.66902269325044,-1.1453097651729782,-125.76325624492817
1155743,-178.65667701096933,-1.1362700731387654,-125.7414079088457
1155887,-178.64413075420137,-1.1116976668858307,-125.716185414474
1155991,-178.65020077357408,-1.123779653616188,-125.747550076657
1156138,-178.6654807558224,-1.107671589500311,-125.7722680015616
1156250,-178.63754417394225,-1.0989249356615074,-125.74115357488714
1156348,-178.6622936024392,-1.1014464954994794,-125.77222613468312
1156448,-178.65946365552685,-1.1111791846380183,-125.74731179584289
1156547,-178.65956133467276,-1.1112210731575929,-125.74108625045693
1156687,-178.65977066638047,-1.1115420022706848,-125.71603183892954
1156788,-178.67535324567692,-1.126705453122257,-125.74111210729745
1156888,-178.68476904313684,-1.1142827202890282,-125.72523672088217
1156989,-178.67869852445062,-1.1331084426798983,-125.72551286104384
1157133,-178.68492350342794,-1.1299193637937057,-125.72541469312154
1157234,-178.69418372563536,-1.1173173773654044,-125.72517974400674
1157437,-178.72525098516056,-1.1167016339126032,-125.74992516162202
1157537,-178.73456881808954,-1.1197006568224066,-125.75609265268581
1157636,-178.72515484089033,-1.1166634595264946,-125.7561508592617
