Time (ms), Acc_x, Acc_y, Acc_z, Gyro_x, Gyro_y, Gyro_z, Mag_x, Mag_y, Mag_z, Lin_acc_x, Lin_acc_y, Lin_acc_z, Geo_mag_i, Geo_mag_j, Geo_mag_k, Geo_mag_w, Rot_vec_i, Rot_vec_j, Rot_vec_k, Rot_vec_w, Pressure, Temperature
972886, 0.9921875, -0.8515625, -9.73828125, -0.017578125, 0.025390625, 0.03515625, -57.6875, 224.4375, 39.8125, 0.75, -0.625, 0.03515625, 0.50146484375, -3.968017578125, 0.055908203125, 0.033203125, 0.453125, -0.89129638671875, 0.01611328125, 0.006103515625, 983.79248046875, 14.2354736328125
972986, -0.5, 0.7578125, -9.77734375, 0.01953125, 0.017578125, -0.01171875, -57.625, 225.625, 41.375, 0.51953125, -0.27734375, 0.10546875, 0.499755859375, -3.96826171875, 0.049560546875, 0.0361328125, 0.453125, -0.89129638671875, 0.0159912109375, 0.005859375, 983.79248046875, 14.2354736328125
973086, 0.45703125, 0.453125, -9.5859375, 0.0234375, -0.015625, -0.056640625, -58.6875, 225.75, 42.75, 0.26171875, 0.1796875, -0.0859375, 0.501220703125, -3.968017578125, 0.05322265625, 0.03271484375, 0.45281982421875, -0.89141845703125, 0.01580810546875, 0.00604248046875, 983.79248046875, 14.2354736328125
973241, 0.30078125, -0.62109375, -9.8125, -0.01953125, 0.001953125, 0.0234375, -59.375, 224.6875, 42.625, -0.34375, -0.578125, -0.0859375, 0.50146484375, -3.968017578125, 0.048095703125, 0.03662109375, 0.4532470703125, -0.8912353515625, 0.01593017578125, 0.00567626953125, 983.79248046875, 14.2354736328125
973340, 0.109375, -0.390625, -9.8125, -0.0078125, 0.0078125, 0.0078125, -59.0, 225.1875, 44.1875, 0.56640625, 0.33203125, 0.02734375, 0.504150390625, -3.967529296875, 0.052978515625, 0.03466796875, 0.453125, -0.89129638671875, 0.01593017578125, 0.005859375, 983.79248046875, 14.2354736328125
973440, -0.234375, -0.7734375, -9.8515625, -0.025390625, 0.01953125, 0.037109375, -58.375, 224.5, 40.875, -0.4609375, -0.2421875, 0.10546875, 0.50341796875, -3.9677734375, 0.05126953125, 0.03955078125, 0.4530029296875, -0.891357421875, 0.01580810546875, 0.00579833984375, 983.79248046875, 14.2354736328125
973541, 0.109375, -1.00390625, -9.77734375, 0.009765625, -0.009765625, 0.0, -58.0, 224.5, 40.875, 0.0390625, 0.87890625, 0.02734375, 0.503173828125, -3.9677734375, 0.05029296875, 0.038330078125, 0.4534912109375, -0.89111328125, 0.01605224609375, 0.00531005859375, 983.79248046875, 14.2354736328125
973640, 0.33984375, -0.19921875, -9.73828125, -0.001953125, -0.00390625, 0.00390625, -58.3125, 225.375, 41.625, 0.07421875, 0.41015625, -0.01171875, 0.50341796875, -3.9677734375, 0.0537109375, 0.03466796875, 0.45318603515625, -0.8912353515625, 0.01580810546875, 0.00555419921875, 983.79248046875, 14.2354736328125
973835, 0.1484375, -0.19921875, -9.73828125, 0.001953125, -0.001953125, 0.0, -59.0625, 225.4375, 42.75, 0.26953125, 0.1875, 0.02734375, 0.501953125, -3.9677734375, 0.05126953125, 0.03564453125, 0.45343017578125, -0.89111328125, 0.01605224609375, 0.00531005859375, 983.786376953125, 14.24432373046875
973935, 0.37890625, 0.14453125, -9.8515625, 0.009765625, -0.005859375, -0.013671875, -59.4375, 225.625, 40.5625, 0.15234375, 0.37109375, -0.0859375, 0.5029296875, -3.9677734375, 0.0537109375, 0.0341796875, 0.4532470703125, -0.8912353515625, 0.015869140625, 0.00537109375, 983.786376953125, 14.24432373046875
974035, -0.5, -0.16015625, -9.69921875, 0.033203125, -0.0234375, -0.048828125, -58.6875, 225.4375, 43.125, -0.71875, 0.06640625, 0.05859375, 0.502197265625, -3.968017578125, 0.046630859375, 0.035888671875, 0.45367431640625, -0.8909912109375, 0.01605224609375, 0.0048828125, 983.786376953125, 14.24432373046875
974137, 0.80078125, 0.22265625, -9.77734375, 0.005859375, -0.029296875, -0.00390625, -57.9375, 225.4375, 43.125, 0.61328125, 0.46484375, -0.01953125, 0.5009765625, -3.968017578125, 0.049072265625, 0.034912109375, 0.453369140625, -0.89117431640625, 0.0157470703125, 0.00482177734375, 983.786376953125, 14.24432373046875
974285, -0.08203125, -0.3125, -9.8125, -0.01171875, 0.005859375, 0.00390625, -58.3125, 225.4375, 43.125, -0.09765625, 0.51953125, -0.02734375, 0.499755859375, -3.96826171875, 0.052978515625, 0.032958984375, 0.45330810546875, -0.8912353515625, 0.0157470703125, 0.0045166015625, 983.786376953125, 14.24432373046875
974435, 0.83984375, -0.12109375, -9.890625, -0.0078125, 0.005859375, 0.015625, -58.25, 224.6875, 43.4375, -0.4765625, -0.484375, 0.01953125, 0.501220703125, -3.968017578125, 0.052978515625, 0.0341796875, 0.4532470703125, -0.8912353515625, 0.01580810546875, 0.004150390625, 983.786376953125, 14.24432373046875
974535, 0.1875, 0.14453125, -9.66015625, 0.0234375, 0.001953125, -0.033203125, -58.6875, 222.9375, 40.375, -0.63671875, -0.66015625, 0.06640625, 0.50146484375, -3.968017578125, 0.050537109375, 0.036376953125, 0.45361328125, -0.89105224609375, 0.01605224609375, 0.00390625, 983.786376953125, 14.24432373046875
974634, 0.6484375, -0.62109375, -9.8125, -0.009765625, -0.021484375, 0.017578125, -59.0625, 226.0625, 41.25, -0.22265625, -0.43359375, 0.06640625, 0.5029296875, -3.9677734375, 0.0576171875, 0.033203125, 0.45361328125, -0.89105224609375, 0.0159912109375, 0.00408935546875, 983.786376953125, 14.24432373046875
